rank_alphabetical,suburb,postcode,median_house_price_aud,median_house_rent_per_week_aud,house_gross_yield_pct,house_price_growth_12m_pct,house_price_growth_3m_pct,house_price_growth_6m_pct,data_period,source_url,data_status,notes
1,Aberfeldie,3040,1828000,730,2.2,-7.2,,,May 2025 - April 2026,https://www.realestate.com.au/vic/aberfeldie-3040/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
2,Abbotsford,3067,1271000,850,3.6,2.3,,,May 2025 - April 2026,https://www.realestate.com.au/vic/abbotsford-3067/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
3,Aintree,3336,710000,530,3.9,3.7,,,May 2025 - April 2026,https://www.realestate.com.au/vic/aintree-3336/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
4,Airport West,3042,1010000,610,3.6,7.5,,,May 2025 - April 2026,https://www.realestate.com.au/vic/airport-west-3042/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
5,Albanvale,3021,665000,478,3.8,8.7,,,May 2025 - April 2026,https://www.realestate.com.au/vic/albanvale-3021/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
6,Albert Park,3206,2412500,993,2.7,2.9,,,May 2025 - April 2026,https://www.realestate.com.au/vic/albert-park-3206/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
7,Albion,3020,795000,510,3.3,8.2,,,May 2025 - April 2026,https://www.realestate.com.au/vic/albion-3020/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
8,Alphington,3078,1741500,868,2.8,-2.2,,,May 2025 - April 2026,https://www.realestate.com.au/vic/alphington-3078/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
9,Altona,3018,1173000,650,3.0,-0.9,,,May 2025 - April 2026,https://www.realestate.com.au/vic/altona-3018/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
10,Altona Meadows,3028,775000,530,3.7,8.4,,,May 2025 - April 2026,https://www.realestate.com.au/vic/altona-meadows-3028/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
11,Altona North,3025,960000,680,3.5,3.2,,,May 2025 - April 2026,https://www.realestate.com.au/vic/altona-north-3025/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
12,Armadale,3143,2253750,1050,2.9,-11.6,,,May 2025 - April 2026,https://www.realestate.com.au/vic/armadale-3143/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
13,Ardeer,3022,705000,500,3.2,4.4,,,May 2025 - April 2026,https://www.realestate.com.au/vic/ardeer-3022/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
14,Ashburton,3147,1980000,895,2.5,6.3,,,May 2025 - April 2026,https://www.realestate.com.au/vic/ashburton-3147/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
15,Ashwood,3147,1480000,688,2.7,2.6,,,May 2025 - April 2026,https://www.realestate.com.au/vic/ashwood-3147/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
16,Aspendale,3195,1433750,800,2.9,11.5,,,May 2025 - April 2026,https://www.realestate.com.au/vic/aspendale-3195/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
17,Aspendale Gardens,3195,1310000,820,3.4,7.4,,,May 2025 - April 2026,https://www.realestate.com.au/vic/aspendale-gardens-3195/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
18,Ascot Vale,3032,1312500,713,3.1,2.9,,,May 2025 - April 2026,https://www.realestate.com.au/vic/ascot-vale-3032/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
19,Attwood,3049,900000,560,3.7,12.5,,,May 2025 - April 2026,https://www.realestate.com.au/vic/attwood-3049/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
20,Avondale Heights,3034,1020000,600,3.2,4.1,,,May 2025 - April 2026,https://www.realestate.com.au/vic/avondale-heights-3034/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
21,Balaclava,3183,1400000,900,3.1,3.6,,,May 2025 - April 2026,https://www.realestate.com.au/vic/balaclava-3183/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
22,Bayswater,3153,971000,625,3.7,10.6,,,May 2025 - April 2026,https://www.realestate.com.au/vic/bayswater-3153/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
23,Bayswater North,3153,921250,600,3.7,1.8,,,May 2025 - April 2026,https://www.realestate.com.au/vic/bayswater-north-3153/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
24,Beaconsfield,3807,1012000,605,3.4,4.3,,,May 2025 - April 2026,https://www.realestate.com.au/vic/beaconsfield-3807/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
25,Beaumaris,3193,2100000,1111,3.2,5.0,,,May 2025 - April 2026,https://www.realestate.com.au/vic/beaumaris-3193/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
26,Bellfield,3081,1020000,610,3.2,-0.2,,,May 2025 - April 2026,https://www.realestate.com.au/vic/bellfield-3081/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
27,Bentleigh,3204,1735000,920,2.8,6.5,,,May 2025 - April 2026,https://www.realestate.com.au/vic/bentleigh-3204/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
28,Bentleigh East,3165,1550000,900,3.1,3.3,,,May 2025 - April 2026,https://www.realestate.com.au/vic/bentleigh-east-3165/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
29,Berwick,3806,920000,620,3.5,5.8,,,May 2025 - April 2026,https://www.realestate.com.au/vic/berwick-3806/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
30,Blackburn,3130,1620000,695,2.5,8.0,,,May 2025 - April 2026,https://www.realestate.com.au/vic/blackburn-3130/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
31,Blackburn North,3130,1432000,710,2.7,12.5,,,May 2025 - April 2026,https://www.realestate.com.au/vic/blackburn-north-3130/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
32,Blackburn South,3130,1370000,650,2.8,0.4,,,May 2025 - April 2026,https://www.realestate.com.au/vic/blackburn-south-3130/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
33,Black Rock,3193,2315000,1250,2.9,-2.8,,,May 2025 - April 2026,https://www.realestate.com.au/vic/black-rock-3193/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
34,Blairgowrie,3942,1450000,673,3.1,3.6,,,May 2025 - April 2026,https://www.realestate.com.au/vic/blairgowrie-3942/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
35,Bonbeach,3196,1242500,775,3.4,20.3,,,May 2025 - April 2026,https://www.realestate.com.au/vic/bonbeach-3196/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
36,Bonnie Brook,3335,681500,500,4.0,0.4,,,May 2025 - April 2026,https://www.realestate.com.au/vic/bonnie-brook-3335/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
