rank_alphabetical,suburb,postcode,median_house_price_aud,median_house_rent_per_week_aud,house_gross_yield_pct,house_price_growth_12m_pct,house_price_growth_3m_pct,house_price_growth_6m_pct,data_period,source_url,data_status,notes
301,St Kilda East,3183,1709000,890,2.9,1.9,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/st-kilda-east-3183/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
302,St Kilda West,3182,2370000,1175,2.9,7.2,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/st-kilda-west-3182/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
303,Strathmore,3041,1550000,800,2.9,-5.8,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/strathmore-3041/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
304,Strathmore Heights,3041,1165000,740,3.3,16.5,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/strathmore-heights-3041/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
305,Strathtulloh,3338,630000,470,3.9,0.5,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/strathtulloh-3338/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
306,Sunbury,3429,720000,550,3.9,6.7,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/sunbury-3429/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
307,Sunshine,3020,861500,525,3.2,12.0,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/sunshine-3020/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
308,Sunshine North,3020,776000,540,3.5,5.6,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/sunshine-north-3020/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
309,Sunshine West,3020,760000,500,3.5,11.0,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/sunshine-west-3020/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
310,Surrey Hills,3127,2201000,900,2.3,-4.9,,,May 2025 - April 2026 / over last year (realestate.com.au suburb profile),https://www.realestate.com.au/vic/surrey-hills-3127/,verified_REA_suburb_profile,House-only REA suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
