rank_alphabetical,suburb,postcode,median_house_price_aud,median_house_rent_per_week_aud,house_gross_yield_pct,house_price_growth_12m_pct,house_price_growth_3m_pct,house_price_growth_6m_pct,data_period,source_url,data_status,notes
101,Dandenong,3175,763000,560,3.8,5.2,,,May 2025 - April 2026,https://www.realestate.com.au/vic/dandenong-3175/,verified_REA_suburb_profile,House-only realestate.com.au suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
102,Dandenong North,3175,810000,550,3.9,6.6,,,May 2025 - April 2026,https://www.realestate.com.au/vic/dandenong-north-3175/,verified_REA_suburb_profile,House-only realestate.com.au suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
103,Dandenong South,3175,,,,,,,May 2025 - April 2026,https://www.realestate.com.au/vic/dandenong-south-3175/,source_no_usable_house_summary,realestate.com.au page did not show a usable house price/rent/yield/growth summary for this suburb. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
104,Deer Park,3023,708000,500,3.7,5.7,,,May 2025 - April 2026,https://www.realestate.com.au/vic/deer-park-3023/,verified_REA_suburb_profile,House-only realestate.com.au suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
105,Delahey,3037,748500,500,3.8,14.0,,,May 2025 - April 2026,https://www.realestate.com.au/vic/delahey-3037/,verified_REA_suburb_profile,House-only realestate.com.au suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
106,Derrimut,3026,833500,600,3.8,11.9,,,May 2025 - April 2026,https://www.realestate.com.au/vic/derrimut-3026/,verified_REA_suburb_profile,House-only realestate.com.au suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
107,Diamond Creek,3089,1091000,675,3.8,2.2,,,May 2025 - April 2026,https://www.realestate.com.au/vic/diamond-creek-3089/,verified_REA_suburb_profile,House-only realestate.com.au suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
108,Diggers Rest,3427,670000,508,3.9,4.5,,,May 2025 - April 2026,https://www.realestate.com.au/vic/diggers-rest-3427/,verified_REA_suburb_profile,House-only realestate.com.au suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
109,Dingley Village,3172,1206000,700,3.5,9.4,,,May 2025 - April 2026,https://www.realestate.com.au/vic/dingley-village-3172/,verified_REA_suburb_profile,House-only realestate.com.au suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
110,Docklands,3008,1367500,1125,3.1,-18.6,,,May 2025 - April 2026,https://www.realestate.com.au/vic/docklands-3008/,verified_REA_suburb_profile,House-only realestate.com.au suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
111,Doncaster,3108,1530000,820,3.1,4.7,,,May 2025 - April 2026,https://www.realestate.com.au/vic/doncaster-3108/,verified_REA_suburb_profile,House-only realestate.com.au suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
112,Doncaster East,3109,1626500,800,2.8,3.6,,,May 2025 - April 2026,https://www.realestate.com.au/vic/doncaster-east-3109/,verified_REA_suburb_profile,House-only realestate.com.au suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
113,Donnybrook,3064,657000,500,3.9,0.8,,,May 2025 - April 2026,https://www.realestate.com.au/vic/donnybrook-3064/,verified_REA_suburb_profile,House-only realestate.com.au suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
114,Donvale,3111,1640000,800,3.2,4.5,,,May 2025 - April 2026,https://www.realestate.com.au/vic/donvale-3111/,verified_REA_suburb_profile,House-only realestate.com.au suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
115,Doreen,3754,810000,560,3.7,6.6,,,May 2025 - April 2026,https://www.realestate.com.au/vic/doreen-3754/,verified_REA_suburb_profile,House-only realestate.com.au suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
116,Doveton,3177,642000,528,4.1,5.8,,,May 2025 - April 2026,https://www.realestate.com.au/vic/doveton-3177/,verified_REA_suburb_profile,House-only realestate.com.au suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
117,Dromana,3936,985000,650,3.3,1.8,,,May 2025 - April 2026,https://www.realestate.com.au/vic/dromana-3936/,verified_REA_suburb_profile,House-only realestate.com.au suburb-profile summary. 3m/6m growth columns are N/A because this source does not expose them on suburb pages.
